title:right, start timestamp:1638427531.213208, stop timestamp:1638427536.273771, headset type:EPOCX, headset serial:E202044C, headset firmware:710, channels:55, sampling rate:128, samples:649       , version:2.1, 
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4
1638427531.213208,85.000000,0.000000,4218.717773,4304.743652,4117.692383,4174.487305,4272.436035,4294.487305,4284.871582,4334.487305,4325.128418,4265.256348,4428.461426,4302.948730,4455.769043,4389.102539,3398.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427531.221115,86.000000,0.000000,4223.461426,4318.205078,4125.384766,4169.743652,4271.282227,4292.563965,4292.563965,4341.666504,4323.974121,4259.230957,4430.769043,4315.128418,4448.846191,4387.820313,2304.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427531.228923,87.000000,0.000000,4228.846191,4323.589844,4137.948730,4180.128418,4275.256348,4302.692383,4309.358887,4358.461426,4328.589844,4261.922852,4441.538574,4329.487305,4457.436035,4393.205078,886.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427531.236731,88.000000,0.000000,4220.384766,4309.230957,4125.384766,4187.179688,4281.666504,4304.230957,4304.358887,4364.230957,4332.948730,4258.077148,4436.666504,4321.922852,4455.769043,4385.512695,2725.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427531.244439,89.000000,0.000000,4205.128418,4300.897461,4101.153809,4162.307617,4272.948730,4287.692383,4283.205078,4351.922852,4331.922852,4248.717773,4415.000000,4294.615234,4440.512695,4382.436035,3398.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427531.252247,90.000000,0.000000,4193.717773,4302.563965,4082.692383,4137.051270,4261.666504,4277.179688,4267.692383,4342.948730,4325.384766,4241.666504,4399.358887,4268.846191,4430.512695,4375.128418,2304.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427531.259955,91.000000,0.000000,4191.153809,4293.333496,4075.769287,4138.717773,4263.846191,4279.615234,4257.563965,4337.307617,4314.743652,4238.333496,4396.922852,4258.461426,4424.615234,4373.205078,886.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427531.267763,92.000000,0.000000,4193.205078,4283.205078,4074.487061,4138.461426,4264.615234,4279.230957,4247.051270,4319.358887,4300.512695,4229.871582,4395.256348,4254.230957,4416.025879,4376.794922,2725.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427531.275471,93.000000,0.000000,4185.641113,4275.897461,4063.718018,4125.769043,4257.692383,4275.769043,4240.769043,4300.769043,4286.282227,4212.820313,4382.563965,4240.000000,4408.717773,4365.769043,3398.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427531.283279,94.000000,0.000000,4185.641113,4273.974121,4068.718018,4129.358887,4257.179688,4279.615234,4250.384766,4305.128418,4284.871582,4212.307617,4379.102539,4240.128418,4414.102539,4373.461426,2304.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427531.291087,95.000000,0.000000,4204.487305,4291.538574,4086.923096,4145.128418,4263.589844,4284.230957,4263.077148,4323.333496,4303.461426,4237.307617,4401.794922,4265.897461,4431.153809,4383.717773,886.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427531.298895,96.000000,0.000000,4222.307617,4320.512695,4100.256348,4156.666504,4273.333496,4286.153809,4269.743652,4341.153809,4330.641113,4264.102539,4426.666504,4294.487305,4448.974121,4386.794922,2725.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427531.306703,97.000000,0.000000,4222.179688,4330.512695,4109.743652,4164.487305,4281.538574,4291.153809,4274.871582,4346.025879,4339.743652,4274.487305,4432.179688,4304.487305,4454.615234,4393.205078,3398.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427531.314611,98.000000,0.000000,4213.205078,4317.436035,4108.461426,4170.128418,4278.461426,4295.769043,4275.641113,4341.410156,4332.563965,4275.128418,4429.615234,4300.512695,4447.436035,4383.077148,2304.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427531.322419,99.000000,0.000000,4215.897461,4308.974121,4105.769043,4172.307617,4273.717773,4293.974121,4276.666504,4350.384766,4337.051270,4274.487305,4432.948730,4300.384766,4448.846191,4382.307617,886.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427531.330327,100.000000,0.000000,4216.410156,4313.205078,4103.333496,4166.538574,4273.717773,4289.358887,4282.436035,4367.820313,4349.743652,4276.282227,4432.179688,4302.436035,4457.436035,4386.922852,2725.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427531.338135,101.000000,0.000000,4210.256348,4314.487305,4100.897461,4160.641113,4268.589844,4286.410156,4282.051270,4373.461426,4351.282227,4278.974121,4429.743652,4303.077148,4454.743652,4385.000000,3398.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427531.346043,102.000000,0.000000,4208.717773,4302.948730,4100.000000,4153.077148,4261.666504,4281.025879,4268.589844,4361.538574,4338.077148,4268.717773,4421.538574,4296.410156,4440.000000,4388.974121,2304.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
